Zeitschrift;ZDB-ID Print;ZDB-ID Online;
AEÜ - International Journal of Electronics and Communications;120009-4;2046900-7;
AIMS Mathematics;2500660-5;-;
Advances in Applied Probability;160005-9;1474602-5;
Beiträge zur Algebra und Geometrie;223551-1;2014219-5;
Bulletin of the Institute of Mathematics. New Series.;189829-2;2559829-6;
Communications de la Faculté des Sciences de l'Université d'Ankara. Series B, Chemistry and chemical engineering;87516-8;2697530-0;
Chemical Society Reviews;121233-3;2197419-6;
Comptes rendus mathematique / Académie des Sciences Paris;2075552-1;2079115-X;
Computational & applied mathematics;1286502-3;2171678-X;
Far East Journal of Mathematical Sciences;1304898-3;2423216-6;
Inventiones mathematicae;2921-x;1398341-6;
Iranian Journal of Numerical Analysis and Optimization;-;-;
Journal für die Reine und Angewandte Mathematik;3079-x;2193867-2;
Journal of Applied Probability;219147-7;1474599-9;
Journal of Optics;2542981-4;2532144-4;
Journal of Partial Differential Equations;1084061-8;2505828-9;
Journal of the Korean Crystal Growth and Crystal Technology;1436421-9;-;
Journal of the Royal Statistical Society. Series C: Applied Statistics;1476894-x;1482300-7;
Mathematica Scandinavica;206411-x;2088922-7;
Mathematical Programming Series A, B;"740574-1,  
740575-3";1463397-8;
Monatshefte für Mathematik;206474-1;1462913-6;
Nonlinear analysis : theory, methods & applications;2031219-2;1467467-1;
Optimization Methods & Software;1157579-7;1468203-5;
Physical chemistry, chemical physics : PCCP;1460656-2;1476244-4;
Physical Review B, Condensed matter and materials physics;209770-9;2844160-6;
Physical Review A, Atomic, molecular, and optical physics;209769-2;1472694-4;
Physical Review E, Statistical, nonlinear and soft matter physics;1144458-7;2844562-4;
Proceedings of the Steklov Institute of Mathematics;968615-0;2244577-8;
Progress in Nonlinear Differential Equations and their Applications;1049321-9;2433714-6;
RAIRO Operations Research;1481534-5;1468388-x;
Recreatii Matematice;-;-;
Rendiconti del Circolo Matematico di Palermo. 2.Ser.;203791-9;2415092-7;
Rendiconti. Classe di Scienze Matematiche e Naturali. A, Scienze matematiche e applicazioni;203798-1;-;
Avtomatika i telemechanika / Akademija Nauk SSSR;280245-4;-;
SPIE Newsroom;-;2619543-4;
"Statistica &amp; Applicazioni";-;-;
European physical journal special topics;2272387-0;2267176-6;
Transactions of the Japan Society for Computational Methods in Engineering;-;-;
Manuscripta Mathematica;3448-4;1459409-2;
